User,Movie,Predicted Rating,Actual Rating
847,0,4.817659633649384,4.5
847,1,3.6356942927879845,3.5
847,2,4.355848400433576,4.0
847,3,4.625363886931427,4.5
847,4,3.7079023565929523,3.5
847,5,4.563149841230652,4.5
847,6,3.586854689968444,3.5
847,7,4.249515025384167,
847,8,4.224987984747902,
847,9,4.378942390727758,
847,10,4.099179942887011,3.5
847,11,3.8681091510964642,
847,12,3.6781827571026815,
847,13,2.9866350475858727,3.5
847,14,4.452003137158354,4.0
847,15,4.021295440655581,4.0
847,16,3.847754956189504,3.5
847,17,4.639367487238593,4.0
847,18,4.438120864466371,4.0
847,19,4.450723925553133,
847,20,3.506274781005323,
847,21,4.573665726034138,4.0
847,22,4.842958354601743,
847,23,4.618330260683395,4.0
847,24,3.3847898995053733,3.0
847,25,3.438828796665439,
847,26,3.203326902871981,3.5
847,27,4.164802033854867,
847,28,4.928625258147638,4.0
847,29,4.660237300360107,4.0
847,30,4.063528531400852,4.0
847,31,3.698815806068697,3.5
847,32,2.450480764954177,3.0
847,33,4.465959917625796,4.0
847,34,3.3551826906635394,
847,35,4.053250316427627,
847,36,3.438891499180406,
847,37,3.6550297916079177,4.0
847,38,2.8617750145551466,3.5
847,39,2.9346403648785993,
847,40,4.467856680922045,
847,41,3.3974473117736825,
847,42,2.972420475326783,
847,43,4.095046189017504,3.5
847,44,4.540228426852489,4.5
847,45,3.8101207977461002,
847,46,2.4668930788943575,
847,47,3.969820016689093,
847,48,4.310771284420916,4.0
847,49,2.648473630290277,
847,50,3.6298135904464917,3.5
847,51,3.2115433144635084,3.5
847,52,2.6726954787910557,2.5
847,53,4.196130770194824,4.0
847,54,3.6072457053854774,
847,55,3.1391236914933285,3.5
847,56,4.3839964024950255,
847,57,3.180243657847459,
847,58,4.1460928213095,3.5
847,59,4.805284302973517,4.5
847,60,4.738135494310347,4.5
847,61,4.489124533918981,4.5
847,62,4.250349885887801,
847,63,4.966657301977632,5.0
847,64,2.355612672854013,2.5
847,65,3.3702146165567415,
847,66,3.1482236717513885,4.0
847,67,4.134842524904426,4.0
847,68,3.3997314055352796,
847,69,2.9830392730276465,3.5
847,70,2.9131060911738293,
847,71,4.373505030284351,4.0
847,72,3.9865355438782855,4.0
847,73,2.5788941901468316,
847,74,3.695606737320591,
847,75,3.7645931058306825,4.0
